"event_id","timestamp","source_type","host","user","src_ip","event_code","logon_type","logon_id","command"
"A01","2026-09-03T14:01:00+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A02","2026-09-03T14:01:21+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A03","2026-09-03T14:01:42+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A04","2026-09-03T14:02:03+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A05","2026-09-03T14:02:23+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A06","2026-09-03T14:02:44+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A07","2026-09-03T14:03:05+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A08","2026-09-03T14:03:26+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A09","2026-09-03T14:03:47+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A10","2026-09-03T14:04:08+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A11","2026-09-03T14:04:29+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A12","2026-09-03T14:04:50+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A13","2026-09-03T14:05:10+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A14","2026-09-03T14:05:31+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A15","2026-09-03T14:05:52+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A16","2026-09-03T14:06:13+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A17","2026-09-03T14:06:34+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A18","2026-09-03T14:06:55+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A19","2026-09-03T14:07:16+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A20","2026-09-03T14:07:37+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A21","2026-09-03T14:07:57+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A22","2026-09-03T14:08:18+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A23","2026-09-03T14:08:39+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A24","2026-09-03T14:09:00+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4625","10","",""
"A25","2026-09-03T14:10:32+0000","windows_security","FIN-WS-07","alex.morgan","198.51.100.44","4624","10","0x91ab",""
"B01","2026-09-03T14:10:45+0000","windows_security","FIN-WS-07","alex.morgan","10.20.30.15","4624","3","0x77cd",""
"P01","2026-09-03T14:11:04+0000","windows_process","FIN-WS-07","alex.morgan","","4688","","0x91ab","whoami /all"
"P02","2026-09-03T14:11:19+0000","windows_process","FIN-WS-07","alex.morgan","","4688","","0x91ab","hostname"
"P03","2026-09-03T14:11:42+0000","windows_process","FIN-WS-07","alex.morgan","","4688","","0x91ab","net group ""Domain Admins"" /domain"
"B02","2026-09-03T14:12:00+0000","windows_process","FIN-WS-07","alex.morgan","","4688","","0x77cd","C:\Lab\ApprovedInventory.exe"
